id,ActivityDate,TotalSteps,Calories,TotalActiveMinutes,day_of_week
1503960366,2016-04-12,13162,1985,366,Tuesday
1503960366,2016-04-13,10735,1797,257,Wednesday
1503960366,2016-04-14,10460,1776,222,Thursday
1503960366,2016-04-15,9762,1745,272,Friday
1503960366,2016-04-16,12669,1863,267,Saturday
1503960366,2016-04-17,9705,1728,222,Sunday
1503960366,2016-04-18,13019,1921,291,Monday
1503960366,2016-04-19,15506,2035,345,Tuesday
1503960366,2016-04-20,10544,1786,245,Wednesday
1503960366,2016-04-21,9819,1775,238,Thursday
1503960366,2016-04-22,12764,1827,223,Friday
1503960366,2016-04-23,14371,1949,324,Saturday
1503960366,2016-04-24,10039,1788,282,Sunday
1503960366,2016-04-25,15355,2013,303,Monday
1503960366,2016-04-26,13755,1970,333,Tuesday
1503960366,2016-04-27,18134,2159,332,Wednesday
1503960366,2016-04-28,13154,1898,265,Thursday
1503960366,2016-04-29,11181,1837,271,Friday
1503960366,2016-04-30,14673,1947,303,Saturday
1503960366,2016-05-01,10602,1820,314,Sunday
1503960366,2016-05-02,14727,2004,333,Monday
1503960366,2016-05-03,15103,1990,328,Tuesday
1503960366,2016-05-04,11100,1819,261,Wednesday
1503960366,2016-05-05,14070,1959,319,Thursday
1503960366,2016-05-06,12159,1896,319,Friday
1503960366,2016-05-07,11992,1821,258,Saturday
1503960366,2016-05-08,10060,1740,255,Sunday
1503960366,2016-05-09,12022,1819,263,Monday
1503960366,2016-05-10,12207,1859,291,Tuesday
1503960366,2016-05-11,12770,1783,310,Wednesday
1503960366,2016-05-12,0,0,0,Thursday
1624580081,2016-04-12,8163,1432,146,Tuesday
1624580081,2016-04-13,7007,1411,148,Wednesday
1624580081,2016-04-14,9107,1572,236,Thursday
1624580081,2016-04-15,1510,1344,96,Friday
1624580081,2016-04-16,5370,1463,176,Saturday
1624580081,2016-04-17,6175,1554,164,Sunday
1624580081,2016-04-18,10536,1604,226,Monday
1624580081,2016-04-19,2916,1435,141,Tuesday
1624580081,2016-04-20,4974,1446,151,Wednesday
1624580081,2016-04-21,6349,1467,186,Thursday
1624580081,2016-04-22,4026,1470,199,Friday
1624580081,2016-04-23,8538,1562,227,Saturday
1624580081,2016-04-24,6076,1617,219,Sunday
1624580081,2016-04-25,6497,1492,202,Monday
1624580081,2016-04-26,2826,1402,140,Tuesday
1624580081,2016-04-27,8367,1670,207,Wednesday
1624580081,2016-04-28,2759,1401,120,Thursday
1624580081,2016-04-29,2390,1404,150,Friday
1624580081,2016-04-30,6474,1655,258,Saturday
1624580081,2016-05-01,36019,2690,420,Sunday
1624580081,2016-05-02,7155,1497,179,Monday
1624580081,2016-05-03,2100,1334,96,Tuesday
1624580081,2016-05-04,2193,1368,118,Wednesday
1624580081,2016-05-05,2470,1370,117,Thursday
1624580081,2016-05-06,1727,1341,102,Friday
1624580081,2016-05-07,2104,1474,182,Saturday
1624580081,2016-05-08,3427,1427,152,Sunday
1624580081,2016-05-09,1732,1328,91,Monday
1624580081,2016-05-10,2969,1393,139,Tuesday
1624580081,2016-05-11,3134,1359,112,Wednesday
1624580081,2016-05-12,2971,1002,107,Thursday
1644430081,2016-04-12,10694,3199,309,Tuesday
1644430081,2016-04-13,8001,2902,181,Wednesday
1644430081,2016-04-14,11037,3226,315,Thursday
1644430081,2016-04-15,5263,2750,177,Friday
1644430081,2016-04-16,15300,3493,305,Saturday
1644430081,2016-04-17,8757,3011,228,Sunday
1644430081,2016-04-18,7132,2806,169,Monday
1644430081,2016-04-19,11256,3300,341,Tuesday
1644430081,2016-04-20,2436,2430,125,Wednesday
1644430081,2016-04-21,1223,2140,38,Thursday
1644430081,2016-04-22,3673,2344,86,Friday
1644430081,2016-04-23,6637,2677,175,Saturday
1644430081,2016-04-24,3321,2413,89,Sunday
1644430081,2016-04-25,3580,2497,103,Monday
1644430081,2016-04-26,9919,3123,275,Tuesday
1644430081,2016-04-27,3032,2489,118,Wednesday
1644430081,2016-04-28,9405,3108,283,Thursday
1644430081,2016-04-29,3176,2498,120,Friday
1644430081,2016-04-30,18213,3846,482,Saturday
1644430081,2016-05-01,6132,2696,173,Sunday
1644430081,2016-05-02,3758,2580,156,Monday
1644430081,2016-05-03,12850,3324,325,Tuesday
1644430081,2016-05-04,2309,2222,52,Wednesday
1644430081,2016-05-05,4363,2463,99,Thursday
1644430081,2016-05-06,9787,3328,386,Friday
1644430081,2016-05-07,13372,3404,301,Saturday
1644430081,2016-05-08,6724,2987,295,Sunday
1644430081,2016-05-09,6643,3008,341,Monday
1644430081,2016-05-10,9167,2799,186,Tuesday
1644430081,2016-05-11,1329,1276,49,Wednesday
1844505072,2016-04-12,6697,2030,339,Tuesday
1844505072,2016-04-13,4929,1860,248,Wednesday
1844505072,2016-04-14,7937,2130,373,Thursday
1844505072,2016-04-15,3844,1725,176,Friday
1844505072,2016-04-16,3414,1657,147,Saturday
1844505072,2016-04-17,4525,1793,209,Sunday
1844505072,2016-04-18,4597,1814,229,Monday
1844505072,2016-04-19,197,1366,10,Tuesday
1844505072,2016-04-20,8,1349,1,Wednesday
1844505072,2016-04-21,8054,2062,323,Thursday
1844505072,2016-04-22,5372,1827,220,Friday
1844505072,2016-04-23,3570,1645,139,Saturday
1844505072,2016-04-24,0,1347,0,Sunday
1844505072,2016-04-25,0,1347,0,Monday
1844505072,2016-04-26,0,1347,0,Tuesday
1844505072,2016-04-27,4,1348,1,Wednesday
1844505072,2016-04-28,6907,1992,302,Thursday
1844505072,2016-04-29,4920,1856,247,Friday
1844505072,2016-04-30,4014,1763,184,Saturday
1844505072,2016-05-01,2573,1541,82,Sunday
1844505072,2016-05-02,0,1348,0,Monday
1844505072,2016-05-03,4059,1742,184,Tuesday
1844505072,2016-05-04,2080,1549,87,Wednesday
1844505072,2016-05-05,2237,1589,120,Thursday
1844505072,2016-05-06,44,1351,2,Friday
1844505072,2016-05-07,0,1347,0,Saturday
1844505072,2016-05-08,0,1347,0,Sunday
1844505072,2016-05-09,0,1347,0,Monday
1844505072,2016-05-10,0,1347,0,Tuesday
1844505072,2016-05-11,0,1347,0,Wednesday
1844505072,2016-05-12,0,665,0,Thursday
1927972279,2016-04-12,678,2220,55,Tuesday
1927972279,2016-04-13,356,2151,32,Wednesday
1927972279,2016-04-14,2163,2383,97,Thursday
1927972279,2016-04-15,980,2221,51,Friday
1927972279,2016-04-16,0,2064,0,Saturday
1927972279,2016-04-17,0,2063,0,Sunday
1927972279,2016-04-18,244,2111,17,Monday
1927972279,2016-04-19,0,2063,0,Tuesday
1927972279,2016-04-20,0,2063,0,Wednesday
1927972279,2016-04-21,0,2064,0,Thursday
1927972279,2016-04-22,149,2093,10,Friday
1927972279,2016-04-23,2945,2499,145,Saturday
1927972279,2016-04-24,2090,2324,82,Sunday
1927972279,2016-04-25,152,2100,12,Monday
1927972279,2016-04-26,3761,2638,192,Tuesday
1927972279,2016-04-27,0,2063,0,Wednesday
1927972279,2016-04-28,1675,2351,95,Thursday
1927972279,2016-04-29,0,2063,0,Friday
1927972279,2016-04-30,0,2064,0,Saturday
1927972279,2016-05-01,2704,2411,85,Sunday
1927972279,2016-05-02,3790,2505,118,Monday
1927972279,2016-05-03,1326,2195,27,Tuesday
1927972279,2016-05-04,1786,2338,87,Wednesday
1927972279,2016-05-05,0,2063,0,Thursday
1927972279,2016-05-06,2091,2383,108,Friday
1927972279,2016-05-07,1510,2229,48,Saturday
1927972279,2016-05-08,0,2063,0,Sunday
1927972279,2016-05-09,0,2063,0,Monday
